trans_id,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,customer_id
346308.0,6/14/2022 12:58,376163000000000.0,"fraud_Barad, Keer and Arora Pvt Ltd",online_shopping,3884.28,Gatik,Desai,F,"76/14, Kumar Street, Dhanbad-071691",Bhagalpur,Madhya Pradesh,89.379337,138.520168,224572.0,IT trainer,,89.366462,138.53362,1.0,7.42e+18
843480.0,2/20/2024 17:52,675989000000.0,"fraud_Jha, Dugal and Borah Pvt Ltd",entertainment,3980.02,Lagan,Kara,M,"77/816, Arya Ganj, Machilipatnam 420817",Gandhidham,Maharashtra,-43.074657,-32.700226,248011.0,Herbalist,8/25/1989,-43.086132,-32.681927,0.0,2.7e+18
401516.0,2/2/2023 17:46,3588790000000000.0,"fraud_Sarma, Anand and Lata Pvt Ltd",online_shopping,283.01,Pihu,Basak,M,"63/862, Chakraborty Path, Hindupur 254775",Solapur,Uttar Pradesh,,108.305892,454573.0,Gaffer,5/19/1953,-75.800193,108.296438,1.0,-3.97e+18
529921.0,12/26/2022 4:59,4348790000000000.0,fraud_Kamdar PLC Pvt Ltd,online_shopping,,Nishith,,M,"H.No. 61, Sarin Marg, Guntur 402928",Bahraich,Goa,-36.6431755,-105.257978,177133.0,Astronomer,11/22/2004,-36.661501,-105.249825,,-4.49e+18
869222.0,10/9/2022 22:13,4362200000000.0,,travel,180.04,Abram,Khosla,M,"053, Wali Ganj, Bokaro-956981",Dhanbad,Odisha,39.54427,17.365921,461888.0,Phytotherapist,1/24/1974,39.531661,17.361999,0.0,1.75e+18
616155.0,11/3/2022 3:18,6559790000000000.0,"fraud_Sani, Sami and Kade Pvt Ltd",travel,7429.4,Aarav,Andra,M,"53/763, Hans Marg, Ahmedabad 285359",Bijapur,Sikkim,-39.392523,23.20601,358995.0,"Buyer, industrial",3/30/1971,-39.388641,23.210648,1.0,5.02e+18
163904.0,12/29/2022 18:18,6011620000000000.0,"fraud_Swaminathan, Rama and Sridhar Pvt Ltd",entertainment,6957.73,Aniruddh,Sridhar,,"82/86, Cherian Circle, Jabalpur-385535",Tiruvottiyur,Maharashtra,18.884914,22.194826,,Herbalist,7/28/1950,,22.187879,1.0,6.61e+18
641267.0,5/9/2022 20:53,585161000000.0,fraud_Ratta Group Pvt Ltd,fitness_and_medical,4684.41,Renee,Dube,F,"H.No. 972, Tandon, Hosur 598310",Gudivada,Kerala,-37.8595175,-8.599467,961060.0,Mudlogger,6/26/1984,-37.852539,-8.607792,1.0,7.82e+17
976902.0,1/9/2024 11:26,4353080000000.0,fraud_Tailor-Rege Pvt Ltd,online_shopping,,Sumer,,F,"89/44, Raju Ganj, Danapur-658585",Karnal,Nagaland,-60.344972,-169.42219,491337.0,Fashion designer,10/26/1992,-60.329608,-169.416117,1.0,
215296.0,8/3/2022 0:16,,fraud_Jain-Dugal Pvt Ltd,online_shopping,3685.86,Purab,Rajagopal,M,"H.No. 55, Mallick Chowk, Howrah 025543",Berhampur,Nagaland,70.728361,0.016001,63241.0,Special effects artist,2/13/1978,70.71533,0.020448,0.0,-9.16e+18
